Mecanismo de Participación Social en Guarderías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultados de las visitas realizadas (abril-noviembre 2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. ,Mes,OOAD,Localidad,Esquema,Número,Nombre,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Puntos máximos,Puntos alcanzados,%,No. de Padres,Horas 
1,abr-22,09CIUDAD DE MÉXICO,09016MIGUEL HIDALGO,U,181,Guardería Madre Trinidad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
2,abr-22,09CIUDAD DE MÉXICO,09016MIGUEL HIDALGO,U,629,Mundo de los Peques,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,39,38,97.44%,7,14
3,abr-22,09CIUDAD DE MÉXICO,09015CUAUHTÉMOC,U,702,Colegio del Angel II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
4,abr-22,09CIUDAD DE MÉXICO,09014BENITO JUÁREZ,U,49,Centro Pedagógico de la Ciudad de México GORATONY II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
5,abr-22,09CIUDAD DE MÉXICO,09008LA MAGDALENA CONTRERAS,U,1245,Centro Educativo para Peques,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
6,abr-22,09CIUDAD DE MÉXICO,09008LA MAGDALENA CONTRERAS,U,1352,Centro de Desarrollo Infantil Mora Guillén,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
7,abr-22,01AGUASCALIENTES,01011SAN FRANCISCO DE LOS ROMO ,C,38,Centro de Desarrollo Infantil Peques la Huerta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
8,abr-22,01AGUASCALIENTES,01007RINCÓN DE ROMOS  ,U,3,"Centro de Desarrollo Infantil El Colibrí, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
9,abr-22,01AGUASCALIENTES,01001AGUASCALIENTES,U,16,"Guardería Rotaria, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,8,16
10,abr-22,02BAJA CALIFORNIA     ,02001ENSENADA,U,315,La Magia de Disney,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
11,abr-22,02BAJA CALIFORNIA     ,02002MEXICALI,U,318,Guardería Casa del Niño,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,3,6
12,abr-22,02BAJA CALIFORNIA     ,02002MEXICALI        ,U,320,Guardería Pinocho,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,36,92.31%,4,8
13,abr-22,02BAJA CALIFORNIA     ,02004TIJUANA,U,374,Colegio de Enseñanza Personalizada Pierre Faure,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
14,abr-22,02BAJA CALIFORNIA     ,26055SAN LUIS RÍO COLORADO                                                   ,U,375,Estancia Infantil Ivetania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
15,abr-22,02BAJA CALIFORNIA     ,02004TIJUANA,U,377,Guardería Infantil Piccolino,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,39,38,97.44%,7,14
16,abr-22,03BAJA CALIFORNIA SUR      ,03008LOS CABOS,U,130,"Centro Educativo Infantil KUYIMA, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
